model,split,mae_kb,rmse_kb,r2,n
constrained_level,cv,5864.178950586496,7700.233298897301,0.6495776060500156,120
constrained_level,holdout,6917.322418125634,8365.00813844211,0.5944585211436888,24
forecast_flow_identity,cv,4799.256450424966,6083.63968872597,0.7812686394827691,120
forecast_flow_identity,holdout,3758.5095744361984,5718.739125959146,0.8104590224725158,24
neural_network_change,cv,5356.973255569183,7090.383170531705,0.7028857400244382,120
neural_network_change,holdout,4871.675181564609,6474.1795156134,0.7570751073299058,24
persistence,cv,6893.2,8884.834967516279,0.5334665195879494,120
persistence,holdout,8468.791666666666,10655.767747641024,0.3419300843467945,24
polynomial_ridge_change,cv,6056.889688646745,7693.499973506133,0.6501901787597988,120
polynomial_ridge_change,holdout,7081.615747374406,8671.073322478152,0.5642390970960968,24
random_forest_change,cv,4764.109399353895,6030.139855926124,0.7850987929511173,120
random_forest_change,holdout,4538.880181958077,6287.197280582139,0.770904414513971,24
ridge_change,cv,6083.459017632499,7781.1231569630545,0.6421766611826659,120
ridge_change,holdout,7282.440754553023,8862.311691411953,0.5448059407210002,24
seasonal_naive,cv,9011.458333333334,11177.234375804539,0.26166611418623764,120
seasonal_naive,holdout,4773.0,5920.953357920214,0.7968177221696338,24
seasonal_ridge_change,cv,5879.393016084629,7488.747036489766,0.6685619182421112,120
seasonal_ridge_change,holdout,6717.478271177725,8365.083534033887,0.5944512106480918,24
selected_padd_models,cv,4831.676277681863,6056.299010255695,0.7832302368349348,120
selected_padd_models,holdout,4246.902824954395,5854.993369415374,0.8013194470353971,24
spline_ridge_change,cv,4956.740973714145,6228.723796088488,0.7707115219750127,120
spline_ridge_change,holdout,4509.245936631812,5755.051550126474,0.8080443139764878,24
xgboost_change,cv,4973.754654947917,6273.548740196404,0.7673995030947238,120
xgboost_change,holdout,5144.4350179036455,6906.333454584537,0.723562070480767,24
