horizon,mae_kb,rmse_kb,r2,n
1,3338.873046875,4033.001287450929,-1.3649704985118483,2
2,5451.61181640625,5536.267446448036,-23.36887992035081,2
3,4153.3955078125,4245.082187043222,-5.539672947725237,2
4,11025.517822265625,11412.674233417623,-52.315917294945024,2
5,9009.0283203125,9299.654399618832,-132.12619982936585,2
6,1902.849853515625,2172.4069350605473,0.405918152098958,2
7,7683.62890625,8548.781018543277,-1.9784070447268545,2
8,5385.8798828125,7285.926287185578,-1.0429374855757296,2
9,5241.681640625,7071.767039860238,-1.5937553925079269,2
10,2914.84033203125,3997.869443000512,-0.47436715558551024,2
11,4505.61669921875,4699.538744969211,-0.22388736914562135,2
12,7077.853271484375,7597.334972009314,-0.24113059909441215,2
