model,mae_kb,rmse_kb,r2,n
xgboost_change,6148.447882758246,7488.244570461333,0.5726913278169996,72
huber_change,6471.907567574202,8255.008232313294,0.48070195487378453,72
random_forest_change,6528.860280178471,7956.321402495022,0.5176011060979879,72
neural_network_change,6670.694461959805,8346.930799997495,0.4690724124307193,72
seasonal_residual_change,6879.572029228937,8300.21398058618,0.4749988633253792,72
seasonal_ridge_change,7017.092763070121,8832.585689312538,0.4054924351665057,72
constrained_level,7161.711454781945,8701.718073362634,0.4229789146673242,72
spline_ridge_change,7621.952644339075,9214.585368894153,0.3529568226958979,72
seasonal_naive,7754.902777777777,9720.71891845797,0.2799238327664043,72
polynomial_ridge_change,7799.44375160238,9643.156208602486,0.2913691257244083,72
seasonal_change,7832.59513888889,9186.618789098375,0.35687845857397993,72
ridge_change,7884.584511708853,9795.936374466079,0.26873703727744036,72
forecast_flow_identity,8539.381359481673,10341.350007775549,0.1850402857648381,72
persistence,9011.972222222223,11225.170149663161,0.0397871099153454,72
